feature,importance
num27,0.341111521542475
rank,0.26368081883223543
num33,0.11322869245814061
num23,0.06690085232974409
num47,0.05825927750348065
num22,0.029033467439855482
num29,0.0282473032196763
num21,0.027652050254516947
num40,0.02391830874093563
num26,0.018055802287094202
